date,total_sales,total_promotion,active_stores,product_families,oil_price,is_holiday,year,month,day,day_of_week,week_of_year,is_weekend
2013-01-01,2511.618999,0,54,33,93.14,1,2013,1,1,1,1,0
2013-01-02,496092.417944,0,54,33,93.14,0,2013,1,2,2,1,0
2013-01-03,361461.231124,0,54,33,92.97,0,2013,1,3,3,1,0
2013-01-04,354459.6770927,0,54,33,93.12,0,2013,1,4,4,1,0
2013-01-05,477350.121229,0,54,33,,1,2013,1,5,5,1,1
2013-01-06,519695.401088,0,54,33,,0,2013,1,6,6,1,1
2013-01-07,336122.801066,0,54,33,93.2,0,2013,1,7,0,2,0
2013-01-08,318347.777981,0,54,33,93.21,0,2013,1,8,1,2,0
2013-01-09,302530.809018,0,54,33,93.08,0,2013,1,9,2,2,0
2013-01-10,258982.003049,0,54,33,93.81,0,2013,1,10,3,2,0
2013-01-11,289737.6850845,0,54,33,93.6,0,2013,1,11,4,2,0
2013-01-12,403258.2120105,0,54,33,,1,2013,1,12,5,2,1
2013-01-13,464638.547998,0,54,33,,0,2013,1,13,6,2,1
2013-01-14,293348.362078,0,54,33,94.27,0,2013,1,14,0,3,0
2013-01-15,299129.549954,0,54,33,93.26,0,2013,1,15,1,3,0
2013-01-16,318347.913946,0,54,33,94.28,0,2013,1,16,2,3,0
2013-01-17,267498.5159755,0,54,33,95.49,0,2013,1,17,3,3,0
2013-01-18,296130.850028,0,54,33,95.61,0,2013,1,18,4,3,0
2013-01-19,432459.852021,0,54,33,,0,2013,1,19,5,3,1
2013-01-20,461092.386047,0,54,33,,0,2013,1,20,6,3,1
2013-01-21,311211.26595000003,0,54,33,95.85,0,2013,1,21,0,4,0
2013-01-22,296214.728983,0,54,33,96.09,0,2013,1,22,1,4,0
2013-01-23,283258.4530325,0,54,33,95.06,0,2013,1,23,2,4,0
2013-01-24,247245.690995,0,54,33,95.35,0,2013,1,24,3,4,0
2013-01-25,290022.77193,0,54,33,95.15,0,2013,1,25,4,4,0
2013-01-26,413799.7679753,0,54,33,,0,2013,1,26,5,4,1
2013-01-27,430411.991233,0,54,33,,0,2013,1,27,6,4,1
2013-01-28,285460.169953,0,54,33,95.95,0,2013,1,28,0,5,0
2013-01-29,264488.81807649997,0,54,33,97.62,0,2013,1,29,1,5,0
2013-01-30,281061.127052,0,54,33,97.98,0,2013,1,30,2,5,0
2013-01-31,271254.217996,0,54,33,97.65,0,2013,1,31,3,5,0
2013-02-01,369402.055266,0,54,33,97.46,0,2013,2,1,4,5,0
2013-02-02,518887.462705,0,54,33,,0,2013,2,2,5,5,1
2013-02-03,486336.82018,0,54,33,,0,2013,2,3,6,5,1
2013-02-04,344308.715017,0,54,33,96.21,0,2013,2,4,0,6,0
2013-02-05,321245.83913,0,54,33,96.68,0,2013,2,5,1,6,0
2013-02-06,321538.177149,0,54,33,96.44,0,2013,2,6,2,6,0
2013-02-07,290807.530973,0,54,33,95.84,0,2013,2,7,3,6,0
2013-02-08,347441.789912,0,54,33,95.71,0,2013,2,8,4,6,0
2013-02-09,416176.2790747,0,54,33,,0,2013,2,9,5,6,1
2013-02-10,300951.328993,0,54,33,,0,2013,2,10,6,6,1
2013-02-11,278627.588926,0,54,33,97.01,1,2013,2,11,0,7,0
2013-02-12,308800.7909121,0,54,33,97.48,1,2013,2,12,1,7,0
2013-02-13,319597.929962,0,54,33,97.03,0,2013,2,13,2,7,0
2013-02-14,308164.016957,0,54,33,97.3,0,2013,2,14,3,7,0
2013-02-15,320168.883912,0,54,33,95.95,0,2013,2,15,4,7,0
2013-02-16,485660.494008,0,54,33,,0,2013,2,16,5,7,1
2013-02-17,399588.910014,0,54,33,,0,2013,2,17,6,7,1
2013-02-18,350745.573191,0,54,33,96.32,0,2013,2,18,0,8,0
2013-02-19,293637.801951,0,54,33,96.69,0,2013,2,19,1,8,0
2013-02-20,313803.162034,0,54,33,94.92,0,2013,2,20,2,8,0
2013-02-21,267711.1090155,0,54,33,92.79,0,2013,2,21,3,8,0
2013-02-22,285679.869131,0,54,33,93.12,0,2013,2,22,4,8,0
2013-02-23,412897.349113,0,54,33,,0,2013,2,23,5,8,1
2013-02-24,452726.126103,0,54,33,,0,2013,2,24,6,8,1
2013-02-25,307110.875933,0,54,33,92.74,0,2013,2,25,0,9,0
2013-02-26,270425.0070675,0,54,33,92.63,0,2013,2,26,1,9,0
2013-02-27,288401.998919,0,54,33,92.84,0,2013,2,27,2,9,0
2013-02-28,278116.291888,0,54,33,92.03,0,2013,2,28,3,9,0
2013-03-01,378898.165064,0,54,33,90.71,0,2013,3,1,4,9,0
2013-03-02,547857.205258,0,54,33,,1,2013,3,2,5,9,1
2013-03-03,559820.580027,0,54,33,,0,2013,3,3,6,9,1
2013-03-04,383647.679097,0,54,33,90.13,0,2013,3,4,0,10,0
2013-03-05,332189.993189,0,54,33,90.88,0,2013,3,5,1,10,0
2013-03-06,335726.580968,0,54,33,90.47,0,2013,3,6,2,10,0
2013-03-07,293099.52701,0,54,33,91.53,0,2013,3,7,3,10,0
2013-03-08,316600.679967,0,54,33,92.01,0,2013,3,8,4,10,0
2013-03-09,453259.496866,0,54,33,,0,2013,3,9,5,10,1
2013-03-10,461859.756153,0,54,33,,0,2013,3,10,6,10,1
2013-03-11,318379.133021,0,54,33,92.07,0,2013,3,11,0,11,0
2013-03-12,271823.37801,0,54,33,92.44,0,2013,3,12,1,11,0
2013-03-13,287869.663972,0,54,33,92.47,0,2013,3,13,2,11,0
2013-03-14,247541.420096,0,54,33,93.03,0,2013,3,14,3,11,0
2013-03-15,315878.090213,0,54,33,93.49,0,2013,3,15,4,11,0
2013-03-16,482233.433961,0,54,33,,0,2013,3,16,5,11,1
2013-03-17,513439.584913,0,54,33,,0,2013,3,17,6,11,1
2013-03-18,330283.80303,0,54,33,93.71,0,2013,3,18,0,12,0
2013-03-19,294020.245897,0,54,33,92.44,0,2013,3,19,1,12,0
2013-03-20,321207.006946,0,54,33,93.21,0,2013,3,20,2,12,0
2013-03-21,269130.127953,0,54,33,92.46,0,2013,3,21,3,12,0
2013-03-22,304100.453969,0,54,33,93.41,0,2013,3,22,4,12,0
2013-03-23,453192.003086,0,54,33,,0,2013,3,23,5,12,1
2013-03-24,449794.636951,0,54,33,,0,2013,3,24,6,12,1
2013-03-25,317559.6099585,0,54,33,94.55,0,2013,3,25,0,13,0
2013-03-26,275818.2359,0,54,33,95.99,0,2013,3,26,1,13,0
2013-03-27,313691.148998,0,54,33,96.53,0,2013,3,27,2,13,0
2013-03-28,339293.269022,0,54,33,97.24,0,2013,3,28,3,13,0
2013-03-29,345513.132,0,54,33,97.16999999999999,0,2013,3,29,4,13,0
2013-03-30,452661.356036,0,54,33,,0,2013,3,30,5,13,1
2013-03-31,462107.639956,0,54,33,,0,2013,3,31,6,13,1
2013-04-01,428816.447912,0,54,33,97.1,1,2013,4,1,0,14,0
2013-04-02,377732.827961,0,54,33,97.23,0,2013,4,2,1,14,0
2013-04-03,373731.0758793,0,54,33,95.02,0,2013,4,3,2,14,0
2013-04-04,308738.385963,0,54,33,93.26,0,2013,4,4,3,14,0
2013-04-05,336394.782031,0,54,33,92.76,0,2013,4,5,4,14,0
2013-04-06,509424.214023,0,54,33,,0,2013,4,6,5,14,1
2013-04-07,519048.376884,0,54,33,,0,2013,4,7,6,14,1
2013-04-08,346649.815943,0,54,33,93.36,0,2013,4,8,0,15,0
2013-04-09,306335.8019617,0,54,33,94.18,0,2013,4,9,1,15,0
2013-04-10,312846.374941,0,54,33,94.59,0,2013,4,10,2,15,0
2013-04-11,303223.41301,0,54,33,93.44,0,2013,4,11,3,15,0
2013-04-12,314394.967035,0,54,33,91.23,1,2013,4,12,4,15,0
2013-04-13,453442.497048,0,54,33,,0,2013,4,13,5,15,1
2013-04-14,478417.148813,0,54,33,,1,2013,4,14,6,15,1
2013-04-15,338712.458055,0,54,33,88.75,0,2013,4,15,0,16,0
2013-04-16,333431.880049,0,54,33,88.73,0,2013,4,16,1,16,0
2013-04-17,334990.518942,0,54,33,86.65,0,2013,4,17,2,16,0
2013-04-18,281924.509951,0,54,33,87.83,0,2013,4,18,3,16,0
2013-04-19,311588.70494,0,54,33,88.04,0,2013,4,19,4,16,0
2013-04-20,459884.838043,0,54,33,,0,2013,4,20,5,16,1
2013-04-21,485721.032087,0,54,33,,1,2013,4,21,6,16,1
2013-04-22,328886.320986,0,54,33,88.81,0,2013,4,22,0,17,0
2013-04-23,302097.8329435,0,54,33,89.21,0,2013,4,23,1,17,0
2013-04-24,310555.184925,0,54,33,91.07,0,2013,4,24,2,17,0
2013-04-25,268790.618996,0,54,33,93.27,0,2013,4,25,3,17,0
2013-04-26,304413.556952,0,54,33,92.63,0,2013,4,26,4,17,0
2013-04-27,446665.337895,0,54,33,,0,2013,4,27,5,17,1
2013-04-28,477623.4729303,0,54,33,,0,2013,4,28,6,17,1
2013-04-29,328795.874018,0,54,33,94.09,1,2013,4,29,0,18,0
2013-04-30,310186.466894,0,54,33,93.22,0,2013,4,30,1,18,0
2013-05-01,507974.636889,0,54,33,90.74,1,2013,5,1,2,18,0
2013-05-02,348709.460063,0,54,33,93.7,0,2013,5,2,3,18,0
2013-05-03,374291.2510323,0,54,33,95.25,0,2013,5,3,4,18,0
2013-05-04,520339.51596499997,0,54,33,,0,2013,5,4,5,18,1
2013-05-05,580268.550981,0,54,33,,0,2013,5,5,6,18,1
2013-05-06,369869.383046,0,54,33,95.8,0,2013,5,6,0,19,0
2013-05-07,317292.964148,0,54,33,95.28,0,2013,5,7,1,19,0
2013-05-08,332477.410968,0,54,33,96.24,0,2013,5,8,2,19,0
2013-05-09,305868.0570225,0,54,33,96.09,0,2013,5,9,3,19,0
2013-05-10,335937.441949,0,54,33,95.81,0,2013,5,10,4,19,0
2013-05-11,512090.58108,0,54,33,,1,2013,5,11,5,19,1
2013-05-12,387860.5050145,0,54,33,,1,2013,5,12,6,19,1
2013-05-13,350598.06187,0,54,33,94.76,0,2013,5,13,0,20,0
2013-05-14,308469.313119,0,54,33,93.96,0,2013,5,14,1,20,0
2013-05-15,329113.560081,0,54,33,93.95,0,2013,5,15,2,20,0
2013-05-16,307556.946937,0,54,33,94.85,0,2013,5,16,3,20,0
2013-05-17,330004.241998,0,54,33,95.72,0,2013,5,17,4,20,0
2013-05-18,480969.558942,0,54,33,,0,2013,5,18,5,20,1
2013-05-19,518153.554009,0,54,33,,0,2013,5,19,6,20,1
2013-05-20,341787.214991,0,54,33,96.29,0,2013,5,20,0,21,0
2013-05-21,307178.399952,0,54,33,95.55,0,2013,5,21,1,21,0
2013-05-22,301785.4831075,0,54,33,93.98,0,2013,5,22,2,21,0
2013-05-23,289261.058026,0,54,33,94.12,0,2013,5,23,3,21,0
2013-05-24,398389.241982,0,54,33,93.84,1,2013,5,24,4,21,0
2013-05-25,417930.141993,0,54,33,,0,2013,5,25,5,21,1
2013-05-26,450631.400068,0,54,33,,0,2013,5,26,6,21,1
2013-05-27,321630.8309235,0,54,33,94.245,0,2013,5,27,0,22,0
2013-05-28,307329.1680565,0,54,33,94.65,0,2013,5,28,1,22,0
2013-05-29,309333.380899,0,54,33,93.13,0,2013,5,29,2,22,0
2013-05-30,304344.849939,0,54,33,93.57,0,2013,5,30,3,22,0
2013-05-31,330257.841975,0,54,33,91.93,0,2013,5,31,4,22,0
2013-06-01,566901.814988,0,54,33,,0,2013,6,1,5,22,1
2013-06-02,637698.494958,0,54,33,,0,2013,6,2,6,22,1
2013-06-03,426332.097995,0,54,33,93.41,0,2013,6,3,0,23,0
2013-06-04,369705.160085,0,54,33,93.36,0,2013,6,4,1,23,0
2013-06-05,361791.080915,0,54,33,93.66,0,2013,6,5,2,23,0
2013-06-06,317496.765891,0,54,33,94.71,0,2013,6,6,3,23,0
2013-06-07,357673.087977,0,54,33,96.11,0,2013,6,7,4,23,0
2013-06-08,466292.699096,0,54,33,,0,2013,6,8,5,23,1
2013-06-09,526804.730256,0,54,33,,0,2013,6,9,6,23,1
2013-06-10,349754.291978,0,54,33,95.82,0,2013,6,10,0,24,0
2013-06-11,283858.2159925,0,54,33,95.5,0,2013,6,11,1,24,0
2013-06-12,320173.5779987,0,54,33,95.98,0,2013,6,12,2,24,0
2013-06-13,282886.9200452,0,54,33,96.66,0,2013,6,13,3,24,0
2013-06-14,326956.74210719997,0,54,33,97.83,0,2013,6,14,4,24,0
2013-06-15,505950.6668701,0,54,33,,0,2013,6,15,5,24,1
2013-06-16,435894.082881,0,54,33,,0,2013,6,16,6,24,1
2013-06-17,370944.271024,0,54,33,97.86,0,2013,6,17,0,25,0
2013-06-18,320885.3399215,0,54,33,98.46,0,2013,6,18,1,25,0
2013-06-19,319235.25797700003,0,54,33,98.24,0,2013,6,19,2,25,0
2013-06-20,293877.944015,0,54,33,94.89,0,2013,6,20,3,25,0
2013-06-21,319722.6870265,0,54,33,93.81,0,2013,6,21,4,25,0
2013-06-22,446347.312096,0,54,33,,0,2013,6,22,5,25,1
2013-06-23,504964.845142,0,54,33,,1,2013,6,23,6,25,1
2013-06-24,336631.9640383,0,54,33,95.07,0,2013,6,24,0,26,0
2013-06-25,305119.530064,0,54,33,95.25,1,2013,6,25,1,26,0
2013-06-26,301847.2489636,0,54,33,95.47,0,2013,6,26,2,26,0
2013-06-27,266525.458966,0,54,33,97.0,0,2013,6,27,3,26,0
2013-06-28,324210.971803,0,54,33,96.36,0,2013,6,28,4,26,0
2013-06-29,509379.108146,0,54,33,,0,2013,6,29,5,26,1
2013-06-30,533481.693027,0,54,33,,0,2013,6,30,6,26,1
2013-07-01,441758.3880965,0,54,33,97.94,0,2013,7,1,0,27,0
2013-07-02,390958.38408,0,54,33,99.65,0,2013,7,2,1,27,0
2013-07-03,374551.917949,0,54,33,101.92,1,2013,7,3,2,27,0
2013-07-04,327020.179028,0,54,33,102.505,0,2013,7,4,3,27,0
2013-07-05,351401.500074,0,54,33,103.09,0,2013,7,5,4,27,0
2013-07-06,479514.493924,0,54,33,,0,2013,7,6,5,27,1
2013-07-07,500606.073078,0,54,33,,0,2013,7,7,6,27,1
2013-07-08,365452.995017,0,54,33,103.03,0,2013,7,8,0,28,0
2013-07-09,317279.1449993,0,54,33,103.46,0,2013,7,9,1,28,0
2013-07-10,314134.886071,0,54,33,106.41,0,2013,7,10,2,28,0
2013-07-11,281750.931023,0,54,33,104.77,0,2013,7,11,3,28,0
2013-07-12,308786.438133,0,54,33,105.85,0,2013,7,12,4,28,0
2013-07-13,432569.1022205,0,54,33,,0,2013,7,13,5,28,1
2013-07-14,438722.417857,0,54,33,,0,2013,7,14,6,28,1
2013-07-15,348803.0469486,0,54,33,106.2,0,2013,7,15,0,29,0
2013-07-16,335516.229006,0,54,33,105.88,0,2013,7,16,1,29,0
2013-07-17,324313.8180255,0,54,33,106.39,0,2013,7,17,2,29,0
2013-07-18,287074.8739522,0,54,33,107.94,0,2013,7,18,3,29,0
2013-07-19,313332.555049,0,54,33,108.0,0,2013,7,19,4,29,0
2013-07-20,435497.731013,0,54,33,,0,2013,7,20,5,29,1
2013-07-21,437952.624049,0,54,33,,0,2013,7,21,6,29,1
2013-07-22,342802.29905,0,54,33,106.61,0,2013,7,22,0,30,0
2013-07-23,316257.463107,0,54,33,107.13,1,2013,7,23,1,30,0
2013-07-24,309243.7899995,0,54,33,105.41,1,2013,7,24,2,30,0
2013-07-25,298074.2249247,0,54,33,105.47,1,2013,7,25,3,30,0
2013-07-26,318745.692921,0,54,33,104.76,0,2013,7,26,4,30,0
2013-07-27,423890.5020012,0,54,33,,0,2013,7,27,5,30,1
2013-07-28,433358.6520873,0,54,33,,0,2013,7,28,6,30,1
2013-07-29,331493.2850525,0,54,33,104.61,0,2013,7,29,0,31,0
2013-07-30,318553.989932,0,54,33,103.14,0,2013,7,30,1,31,0
2013-07-31,357982.979012,0,54,33,105.1,0,2013,7,31,2,31,0
2013-08-01,397555.3181021,0,54,33,107.93,0,2013,8,1,3,31,0
2013-08-02,393831.120007,0,54,33,106.94,0,2013,8,2,4,31,0
2013-08-03,516956.846013,0,54,33,,0,2013,8,3,5,31,1
2013-08-04,514267.27594,0,54,33,,0,2013,8,4,6,31,1
2013-08-05,407033.810946,0,54,33,106.61,1,2013,8,5,0,32,0
2013-08-06,357263.854086,0,54,33,105.32,0,2013,8,6,1,32,0
2013-08-07,351302.132003,0,54,33,104.41,0,2013,8,7,2,32,0
2013-08-08,310953.0239315,0,54,33,103.45,0,2013,8,8,3,32,0
2013-08-09,337521.667868,0,54,33,106.04,0,2013,8,9,4,32,0
2013-08-10,434184.94409,0,54,33,,1,2013,8,10,5,32,1
2013-08-11,434720.3230013,0,54,33,,0,2013,8,11,6,32,1
2013-08-12,349539.224033,0,54,33,106.19,0,2013,8,12,0,33,0
2013-08-13,317103.331061,0,54,33,106.78,0,2013,8,13,1,33,0
2013-08-14,324377.386893,0,54,33,106.89,0,2013,8,14,2,33,0
2013-08-15,311043.17291,0,54,33,107.43,1,2013,8,15,3,33,0
2013-08-16,364487.3218839,0,54,33,107.58,0,2013,8,16,4,33,0
2013-08-17,448835.3109167,0,54,33,,0,2013,8,17,5,33,1
2013-08-18,464053.7730675,0,54,33,,0,2013,8,18,6,33,1
2013-08-19,362085.52696,0,54,33,107.14,0,2013,8,19,0,34,0
2013-08-20,343046.11398,0,54,33,104.9,0,2013,8,20,1,34,0
2013-08-21,335724.643932,0,54,33,103.93,0,2013,8,21,2,34,0
