date,total_sales,total_promotion,active_stores,product_families,oil_price,is_holiday,year,month,day,day_of_week,week_of_year,is_weekend,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_28,sales_rolling_7,sales_rolling_14,sales_rolling_28,quarter,day_of_year,week_of_month,promotion_ratio
2013-01-29,264488.8180765,0,54,33,97.62,0,2013,1,29,1,5,0,285460.169953,296214.728983,299129.549954,2511.618999,320916.2248716857,330877.42200166424,339672.16334946424,1,29,5,0.0
2013-01-30,281061.127052,0,54,33,97.98,0,2013,1,30,2,5,0,264488.8180765,283258.4530325,318347.913946,496092.417944,316383.9518850428,328403.0840104143,349028.49188794644,1,30,5,0.0
2013-01-31,271254.217996,0,54,33,97.65,0,2013,1,31,3,5,0,281061.127052,247245.690995,267498.5159755,361461.231124,316070.0481735429,325739.7420894143,341348.80292751786,1,31,5,0.0
2013-02-01,369402.055266,0,54,33,97.46,0,2013,2,1,4,5,0,271254.217996,290022.77193,296130.850028,354459.6770927,319499.8377451143,326008.00651945,338127.1238872321,1,32,1,0.0
2013-02-04,344308.715017,0,54,33,96.21,0,2013,2,4,0,6,0,486336.82018,285460.169953,311211.26595000003,336122.801066,353841.5244612143,339218.23866623576,338952.87884227856,1,35,1,0.0
2013-02-05,321245.83913,0,54,33,96.68,0,2013,2,5,1,6,0,344308.715017,264488.8180765,296214.728983,318347.777981,362248.45947035716,341582.3421710214,339245.23291195714,1,36,1,0.0
2013-02-06,321538.177149,0,54,33,96.44,0,2013,2,6,2,6,0,321245.83913,281061.127052,283258.4530325,302530.809018,370356.6053351429,343370.2786100929,339348.73509585,1,37,1,0.0
2013-02-07,290807.530973,0,54,33,95.84,0,2013,2,7,3,6,0,321538.177149,271254.217996,247245.690995,258982.003049,376139.0410632858,346104.5446184143,340027.5696719572,1,38,1,0.0
2013-02-08,347441.789912,0,54,33,95.71,0,2013,2,8,4,6,0,290807.530973,369402.055266,290022.77193,289737.6850845,378932.37148857146,349216.1046168429,341164.1956692428,1,39,2,0.0
2013-02-11,278627.588926,0,54,33,97.01,1,2013,2,11,0,7,0,300951.328993,344308.715017,285460.169953,293348.362078,334638.52289267146,344240.0236769429,337840.443986625,1,42,2,0.0
2013-02-12,308800.7909121,0,54,33,97.48,1,2013,2,12,1,7,0,278627.588926,321245.83913,264488.8180765,299129.549954,325255.50487967144,343751.98217501433,337314.70208833925,1,43,2,0.0
2013-02-13,319597.929962,0,54,33,97.03,0,2013,2,13,2,7,0,308800.7909121,321538.177149,281061.127052,318347.913946,323477.64084854285,346917.12309184286,337660.10355112853,1,44,2,0.0
2013-02-14,308164.016957,0,54,33,97.3,0,2013,2,14,3,7,0,319597.929962,290807.530973,271254.217996,267498.5159755,323200.4626789714,349669.75187112857,337704.7469802714,1,45,2,0.0
2013-02-15,320168.883912,0,54,33,95.95,0,2013,2,15,4,7,0,308164.016957,347441.789912,369402.055266,296130.850028,325679.96067668573,352306.16608262854,339157.0863010393,1,46,3,0.0
2013-02-18,350745.573191,0,54,33,96.32,0,2013,2,18,0,8,0,399588.910014,278627.588926,344308.715017,311211.26595000003,345801.2306701572,340219.87678141426,339719.057723825,1,49,3,0.0
2013-02-19,293637.801951,0,54,33,96.69,0,2013,2,19,1,8,0,350745.573191,308800.7909121,321245.83913,296214.728983,356103.79985087144,340679.6523652714,341130.9972681464,1,50,3,0.0
2013-02-20,313803.162034,0,54,33,94.92,0,2013,2,20,2,8,0,293637.801951,319597.929962,321538.177149,283258.4530325,353937.6585707143,338707.64970962855,341038.96415986074,1,51,3,0.0
2013-02-21,267711.1090155,0,54,33,92.79,0,2013,2,21,3,8,0,313803.162034,308164.016957,290807.530973,247245.690995,353109.834581,338155.14862998575,342129.84662419994,1,52,3,0.0
2013-02-22,285679.869131,0,54,33,93.12,0,2013,2,22,4,8,0,267711.1090155,320168.883912,347441.789912,290022.77193,347330.8477322143,336505.40420444997,342860.7544106464,1,53,4,0.0
2013-02-25,307110.875933,0,54,33,92.74,0,2013,2,25,0,9,0,452726.126103,350745.573191,278627.588926,285460.169953,339600.14150549995,342700.68608782854,343470.3548823857,1,56,4,0.0
2013-02-26,270425.0070675,0,54,33,92.63,0,2013,2,26,1,9,0,307110.875933,293637.801951,308800.7909121,264488.8180765,333366.6133257857,344735.2065883285,344243.59438167146,1,57,4,0.0
