date,actual_sales,predicted_sales,forecast_error
2016-09-19,681159.341976,724500.4,-43341.033024000004
2016-09-20,650980.3219717001,658147.56,-7167.240528299939
2016-09-21,666928.400013,711125.6,-44197.224986999994
2016-09-22,533276.332017,576518.4,-43242.04298300005
2016-09-23,663685.9846653,722770.0,-59084.0153347
2016-09-26,664217.4402937,706112.7,-41895.24720630003
2016-09-27,587908.3278165,612065.25,-24156.92218350002
2016-09-28,631761.1750463,701916.8,-70155.63745369995
2016-09-29,520744.9210333,570468.3,-49723.391466700006
2016-09-30,703198.490806,659242.3,43956.17830599996
2016-10-03,833060.55889,831577.0,1483.5588899999857
2016-10-04,724113.096039,790661.94,-66548.84146100003
2016-10-05,749712.3000211,792745.6,-43033.324978900026
2016-10-06,581429.340158,633140.9,-51711.534841999994
2016-10-07,797612.239327,798485.8,-873.5731730000116
2016-10-10,725312.8469015,729002.06,-3689.2155984999845
2016-10-11,625271.993952,644819.1,-19547.131047999952
2016-10-12,665126.077693,690577.4,-25451.29730700003
2016-10-13,558859.8909975,569866.3,-11006.421502499958
2016-10-14,667954.207226,697763.0,-29808.792773999972
2016-10-17,710456.4240015,867019.06,-156562.6384985
2016-10-18,630638.592023,678142.75,-47504.157976999995
2016-10-19,647823.468973,687498.8,-39675.34352700005
2016-10-20,583001.280078,578323.2,4678.09257800004
2016-10-21,669453.5420583,675960.44,-6506.895441700006
2016-10-24,668507.6451983,706149.9,-37642.229801699985
2016-10-25,610590.8979547,623214.3,-12623.414545299951
2016-10-26,633413.8905697,720352.7,-86938.79693029996
2016-10-27,544361.4798829,566249.3,-21887.83261709998
2016-10-28,638838.252231,712892.25,-74053.99776900001
2016-10-31,654923.5029715,772408.94,-117485.43452849996
2016-11-01,811832.445984,847314.5,-35482.05401600001
2016-11-02,969033.618953,887779.06,81254.55645300006
2016-11-03,793811.6841115,717218.6,76593.05911150004
2016-11-04,858468.216477,802024.9,56443.34147700004
2016-11-07,849451.0429045,854665.94,-5214.894595499965
2016-11-08,767439.628434,709005.3,58434.315933999955
2016-11-09,790276.839009,786848.1,3428.7140089999884
2016-11-10,588241.7590247,660894.5,-72652.74097529997
2016-11-11,713396.4541223,749757.94,-36361.48337769997
2016-11-14,735723.172977,813221.5,-77498.32702299999
2016-11-15,691801.6290437999,709883.94,-18082.30845620006
2016-11-16,830431.7415873,711557.9,118873.86658729997
2016-11-17,615228.2560159,723716.25,-108487.99398409994
2016-11-18,738265.552222,707830.2,30435.36472199997
2016-11-21,773762.280859,853989.56,-80227.28164099995
2016-11-22,690281.251004,723094.5,-32813.24899600004
2016-11-23,753685.041456,733958.25,19726.791455999948
2016-11-24,595457.3062203,641616.4,-46159.06877969997
2016-11-25,737819.484836,722111.5,15707.984836000018
2016-11-28,752583.7680527,762600.0,-10016.231947300024
2016-11-29,645760.5082353,723611.1,-77850.61676470004
2016-11-30,767361.704324,744102.5,23259.20432400005
2016-12-01,843603.315088,801830.56,41772.75258800003
2016-12-02,853454.930795,819336.0,34118.93079500005
2016-12-05,896824.938971,961731.2,-64906.248528999975
2016-12-06,932546.385931,808692.06,123854.323431
2016-12-07,867653.7351403,823640.2,44013.54764030001
2016-12-08,674077.382905,745544.06,-71466.679595
2016-12-09,774941.923982,764087.9,10854.048981999978
2016-12-12,844251.703802,832464.7,11787.016302000033
2016-12-13,747161.615593,868212.94,-121051.32190700003
2016-12-14,829763.2190675,812130.6,17632.594067499973
2016-12-15,747641.1828753001,781577.44,-33936.25462469994
2016-12-16,918899.786306,800646.6,118253.16130599997
2016-12-19,1028242.8227987,915013.2,113229.63529869996
2016-12-20,1080402.388032,853683.5,226718.88803200005
2016-12-21,1181307.3270735,996332.3,184975.01457350003
2016-12-22,1135849.391084,1.028197e+06,107652.391084
2016-12-23,1282145.5171351,971937.4,310208.1421351
2016-12-26,1032770.748898,951632.5,81138.24889799999
2016-12-27,842475.490118,853182.1,-10706.634882000042
2016-12-28,951533.7138481,891249.3,60284.401348100044
2016-12-29,894108.236835,889993.25,4114.986834999989
2016-12-30,1163643.0379923,939835.75,223807.2879923
2017-01-02,1402306.370834,740398.06,661908.308334
2017-01-03,1104377.0798245,860755.4,243621.70482450002
2017-01-04,990093.463742,845004.06,145089.40124200005
2017-01-05,777620.9540695,779505.7,-1884.7334305000259
2017-01-06,839600.237989,769337.6,70262.61298900004
2017-01-09,793724.8969065,781463.75,12261.146906499984
2017-01-10,742635.5692609,754662.44,-12026.868239099975
2017-01-11,770742.690065,739245.4,31497.315064999973
2017-01-12,629635.794004,749763.7,-120127.89349599998
2017-01-13,768898.9443882,724110.0,44788.94438819995
2017-01-16,824488.666175,847608.06,-23119.39632499998
2017-01-17,750836.542952,719558.94,31277.605452000047
2017-01-18,782656.0246723,720195.9,62460.14967229997
2017-01-19,606949.7448793,710990.9,-104041.13012069999
2017-01-20,725703.6910875,716546.25,9157.44108749996
2017-01-23,798133.612125,850909.6,-52776.012875000015
2017-01-24,721275.774781,734727.4,-13451.600219000014
2017-01-25,744342.5929227,733423.9,10918.717922699987
2017-01-26,576515.5369877,652678.8,-76163.27551229997
2017-01-27,722113.958837,694023.06,28090.896336999955
2017-01-30,698123.768037,767447.6,-69323.85696300003
2017-01-31,778222.285925,700454.5,77767.78592499997
2017-02-01,961777.382874,776050.3,185727.070374
2017-02-02,748882.732615,758359.6,-9476.892385000014
2017-02-03,834667.1519293,769806.94,64860.214429300046
2017-02-06,786672.394181,827935.94,-41263.54331900005
2017-02-07,739431.213302,772107.1,-32675.91169800004
2017-02-08,783605.377185,748082.9,35522.50218499999
2017-02-09,624387.487899,690877.9,-66490.38710099994
2017-02-10,752207.2398545,723488.6,28718.614854500047
2017-02-13,794314.4320675,763568.56,30745.86956749996
2017-02-14,642613.187069,742887.94,-100274.75043100002
2017-02-15,745780.355084,699916.94,45863.41758400004
2017-02-16,645968.2570671,655819.5,-9851.242932899971
2017-02-17,758855.71279,695103.25,63752.46279000002
2017-02-20,759120.0599607,702882.9,56237.18496069999
2017-02-21,717807.6770255,736130.06,-18322.385474500014
2017-02-22,739388.0344027,723816.25,15571.784402700025
2017-02-23,675578.500156,595978.1,79600.37515600002
2017-02-24,816197.498952,690573.75,125623.74895200005
2017-02-27,744956.948138,737784.1,7172.823137999978
2017-02-28,949366.8290505,718387.5,230979.32905049995
2017-03-01,1008521.709962,787504.9,221016.83496200002
2017-03-02,836225.179072,902495.94,-66270.75842800003
2017-03-03,882639.776274,782843.75,99796.02627399995
2017-03-06,790143.2410905,859994.06,-69850.82140949997
2017-03-07,761866.729975,777691.5,-15824.770024999976
2017-03-08,781046.6619577,769343.0,11703.661957700038
2017-03-09,653901.1919827,735393.25,-81492.05801729998
2017-03-10,773855.30685,721573.94,52281.36935000005
2017-03-13,754390.380036,827804.2,-73413.80746399995
2017-03-14,700998.0346447,748155.0,-47156.965355299995
2017-03-15,815621.887369,691077.56,124544.324869
2017-03-16,699108.166824,722140.44,-23032.270676000044
2017-03-17,812306.77427,706746.4,105560.39927000005
2017-03-20,826428.90991,856625.3,-30196.402589999954
2017-03-21,746620.926177,757948.94,-11328.011322999955
2017-03-22,767880.804934,758550.56,9330.242434000014
2017-03-23,670848.010029,725857.06,-55009.052471
2017-03-24,787914.125515,702627.7,85286.43801499996
2017-03-27,784103.265042,824552.75,-40449.484958000015
2017-03-28,702943.9485770001,719504.3,-16560.36392299994
2017-03-29,824632.985033,733923.1,90709.860033
2017-03-30,637624.340998,763394.56,-125770.221502
2017-03-31,878750.03788,740266.1,138483.91287999996
2017-04-03,835191.622029,854103.25,-18911.627971000038
2017-04-04,835602.6360017,787332.2,48270.44850169995
2017-04-05,846631.307907,781196.25,65435.05790699995
2017-04-06,683059.570103,745184.44,-62124.867396999965
2017-04-07,765502.211925,737487.25,28014.961924999952
2017-04-10,739392.130988,770076.7,-30684.55651200004
2017-04-11,741331.430196,720607.5,20723.93019600003
2017-04-12,791762.312883,795703.75,-3941.437116999994
2017-04-13,737029.565183,735287.1,1742.440183000057
2017-04-14,740889.486829,785131.5,-44242.01317100006
2017-04-17,775916.9059055,722852.8,53064.093405500054
2017-04-18,717196.315762,725703.44,-8507.121737999958
2017-04-19,735733.2142477001,730291.0,5442.21424770006
2017-04-20,675804.0219027,685083.7,-9279.665597300045
2017-04-21,795795.893872,773933.7,21862.206372000044
2017-04-24,755072.530945,788817.1,-33744.594054999994
2017-04-25,718996.080637,733376.0,-14379.919362999965
2017-04-26,781159.2829995,730830.94,50328.34549950005
2017-04-27,624910.0260955,708003.0,-83092.97390450002
2017-04-28,797636.6251025,734036.6,63600.000102499966
2017-05-01,1306699.366897,856742.6,449956.741897
2017-05-02,907324.094113,865131.7,42192.40661299997
2017-05-03,924247.257204,804134.9,120112.38220400002
2017-05-04,716654.608983,776358.5,-59703.89101699996
2017-05-05,780798.407016,764036.56,16761.844516000012
2017-05-08,776307.495015,841085.1,-64777.62998500001
2017-05-09,715811.198881,746672.4,-30861.176118999952
2017-05-10,766101.907094,741826.8,24275.094594000024
2017-05-11,648650.413039,695223.8,-46573.39946099999
2017-05-12,764812.415784,746821.44,17990.978283999953
2017-05-15,823035.572122,720741.8,102293.75962200004
2017-05-16,807803.8950783,739367.3,68436.58257830003
2017-05-17,841407.607944,744300.06,97107.54544400005
2017-05-18,628487.989962,745261.7,-116773.69753799995
2017-05-19,773775.4378677,718302.5,55472.937867700006
2017-05-22,778935.156126,900647.2,-121712.03137400001
2017-05-23,723151.767982,757021.44,-33869.66951799998
2017-05-24,746303.6271255,763438.5,-17134.872874499997
2017-05-25,620108.24391,681994.8,-61886.56859000004
2017-05-26,984511.1521135,778442.2,206068.96461350005
2017-05-29,776813.137038,765020.5,11792.637038000044
2017-05-30,742471.2769905,749857.06,-7385.785509499954
2017-05-31,858062.149411,830346.3,27715.836910999962
2017-06-01,766859.172845,783585.56,-16726.389654999948
2017-06-02,918421.319125,793087.06,125334.25662500004
2017-06-05,912693.8511,887674.25,25019.60109999997
2017-06-06,805546.647956,772937.7,32608.960455999942
2017-06-07,842979.8370823,780912.25,62067.587082299986
2017-06-08,667099.801025,720107.56,-53007.76147499995
2017-06-09,795116.1360699,731653.25,63462.88606990001
2017-06-12,768349.7589517,863760.5,-95410.74104830006
2017-06-13,729412.959849,747986.6,-18573.665151000023
2017-06-14,785885.9088963,754057.2,31828.72139630001
2017-06-15,660338.346974,724402.8,-64064.465526000015
2017-06-16,834786.4275550001,728161.75,106624.67755500006
